UPC,Description,Size,Category,Big_Pack_UPC,Pre_Total_Sales,Pre_Total_Units,Pre_Total_Visits,Pre_Total_HHs,Pre_HH_Pen,Pre_Spend_per_HH,Pre_Visits_per_HH,Pre_Spend_per_Visit,Pre_Units_per_Visit,Pre_Spend_per_Unit,Pre_Repeat_HHs,Pre_Repeat_Rate,Covid_Total_Sales,Covid_Total_Units,Covid_Total_Visits,Covid_Total_HHs,Covid_HH_Pen,Covid_Spend_per_HH,Covid_Visits_per_HH,Covid_Spend_per_Visit,Covid_Units_per_Visit,Covid_Spend_per_Unit,Covid_Repeat_HHs,Covid_Repeat_Rate,Pre_Loyal_Sales,Pre_Price_Sens_Sales,Covid_Loyal_Sales,Covid_Price_Sens_Sales,Pre_Ecomm_Sales,Pre_Ecomm_HHs,Pre_Ecomm_Visits,Pre_Ecomm_Units,Covid_Ecomm_Sales,Covid_Ecomm_HHs,Covid_Ecomm_Visits,Covid_Ecomm_Units
0001111004940,KRO SS 4 MEGA RL,168.8 SF,BATH TISSUE,N,"","","","","","","","","","","","",2212940.380008783,690608,590009,405313,2.213781634951743,5.459830748110185,1.455687332999435,3.7506891928916053,1.1705041787498156,3.204336439787525,91619,22.604505653655323,"","",1344008.5199999884,924344.4899999945,"","","","",108295.0699999998,18750,23384,34651
0007431213168,NTRB SPR B CMPL FLC ACDC,150 CT,VITAMIN PRODUCTS,N,361302.52999999863,43209,27372,24922,0.13728096437095716,14.497332878581119,1.0983067169569056,13.199712479906424,1.5785839544059623,8.361742461061322,2083,8.358077200866704,425210.2299999846,49769,31981,28886,0.15777262586498844,14.720287682613883,1.107145329917607,13.295714017697527,1.5562052468653262,8.543676384897921,2607,9.025133282559025,245744.42999999988,94169.03000000004,278552.7399999999,103512.67,5919.5499999999865,403,434,626,31995.25000000017,2023,2234,3156
0004126034944,KRO VIT D 2000IU SFTGL,200 CT,VITAMIN PRODUCTS,Y,202266.2799999672,38429,23103,21842,0.12031501580091672,9.260428532184196,1.0577328083508837,8.75497900705394,1.6633770505994891,5.263376096176512,1139,5.214723926380368,267142.92999991006,48059,31093,29614,0.161748893663566,9.020832376575608,1.0499425947187142,8.59173865499984,1.5456533624931657,5.558645206931273,1366,4.612683190382927,139427.13000000012,"",178510.22,83981.89000000001,5230.859999999933,541,596,937,65640.86999999575,6922,7372,10326
0004126037740,KRO VIT D 2000IU GUMMY  0,150 CT,VITAMIN PRODUCTS,Y,158984.0799999966,20763,19839,13930,0.07673235830541021,11.41307106963364,1.4241923905240488,8.013714400927295,1.0465749281717829,7.657086162885739,3017,21.65829145728643,27412.47000000106,3966,3580,3421,0.018685181509524525,8.012999123063741,1.0464776381175096,7.657114525139961,1.1078212290502794,6.9118683812408115,141,4.121601870798012,114923.97000000007,"",17920.00999999999,7673.939999999997,20920.190000000388,1870,2604,2713,6528.299999999898,732,752,830
0001111050204,KRO SHRD 4CHS MEX,8 OZ,CHEESE,N,1.5150438360081287E7,7602913,6190768,2553015,14.063091294981108,5.934331901724544,2.424885086848295,2.4472631441012305,1.2281049782514868,1.9927149449271992,1193653,46.754641081231405,1.9604056419943422E7,9021780,7113781,2798988,15.287810237644267,7.00398015995189,2.5415546618992293,2.7557857656769897,1.268211658469666,2.1729699039372963,1342356,47.958619329557685,1.0196741250000266E7,5381901.260000196,1.2846136570000017E7,5967780.040000156,915497.5600000013,142030,353345,453074,2777586.2100000093,369142,934137,1242897
0003700079619,CHRMN FRSHMT 4X REFLL,160 CT,BATH TISSUE,N,592794.3999998858,69554,64139,33209,0.1829292811891147,17.85041404438212,1.931374025113674,9.242339294343314,1.0844260122546345,8.52279380049869,9169,27.609985244963713,445849.6199997928,52446,47206,38436,0.20993383118973538,11.59979238213635,1.2281715058799043,9.444765919582103,1.111002838622209,8.501117721080593,5008,13.029451555833074,415313.1900000001,53402.950000000004,287522.35000000027,55738.719999999965,39709.97000000011,2065,4172,4688,21922.659999999963,2236,2509,2869
0076211179575,STBK PIKE PLCE RST COF,12 OZ,COFFEE,N,2232630.939999689,346481,287687,141612,0.7800590613313533,15.765831567944023,2.03151569076067,7.760625054311418,1.2043679415475848,6.443732672209122,44003,31.072931672457138,2471105.070002429,384500,314915,160794,0.8782417642918698,15.36814228144352,1.958499695262261,7.846895416231139,1.220964387215598,6.426801222373028,49032,30.49367513713198,1595417.8799999736,335452.49000000034,1678263.459999974,320897.9800000002,174648.74999999994,9514,21922,26350,461650.02999999956,25813,54783,69952
0002100061526,KRFT SNGLS AMERICAN 24CT,16 OZ,CHEESE,N,6692229.160064719,1527548,1434055,769779,4.240269780615963,8.693701906735203,1.8629437799680169,4.666647485671553,1.065194849569926,4.381027083970336,266862,34.66735257781779,5673921.600055823,1179552,1088215,633984,3.4627612143041206,8.949629012807614,1.7164707626690894,5.213971136269784,1.0839328625317608,4.810234394122364,197110,31.090689985867154,4368829.729999911,1812317.4799999648,3586196.5699999346,1325535.699999975,506133.05000000104,54473,112753,121762,687140.7799999998,71203,130252,147046
0026952840000,SHRIMP FWTR 4/8 FZ RW SC,1 RW,SEAFOOD - SHRIMP,N,231193.36999999965,13459,13130,9000,0.04957582374362469,25.688152222222183,1.458888888888889,17.60802513328253,1.025057121096725,17.17760383386579,1956,21.73333333333333,273368.7000000004,14488,14058,9467,0.05170786710045855,28.875958593007333,1.4849477131086934,19.445774647887355,1.0305875657988335,18.868629210381034,2129,22.488644766029363,122153.96999999999,21242.35,131291.46000000008,28746.450000000004,730.1500000000001,25,36,36,2403.569999999999,64,92,102
0890602872601,RAW WHITE SHRIMP 13/15CT,2 LB,SEAFOOD - SHRIMP,N,"","","","","","","","","","","","",1477562.6999990519,104637,73277,60956,0.33293596144243703,24.239823807320885,1.202129404816589,20.164071946163897,1.4279651186593338,14.120843487476245,8463,13.883785025264125,"","",619630.9700000001,278818.70000000036,"","","","",8474.429999999964,471,481,611
